,# Instances test set,Misclassified count,Misclassified ratio,Accuracy
SSH-Patator,5897,5889,0.998643377988808,0.0013566220111920213
FTP-Patator,7938,7835,0.9870244394053918,0.012975560594608249
Web Attack,2180,2075,0.9518348623853212,0.04816513761467878
Bot,1966,1854,0.943031536113937,0.056968463886063025
PortScan,158930,78016,0.4908827785817655,0.5091172214182345
DoS,252658,72053,0.2851799665951602,0.7148200334048398
BENIGN,1136374,172471,0.151773095829366,0.8482269041706341
Infiltration,36,3,0.0833333333333333,0.9166666666666667
DDoS,128027,7312,0.0571129527365321,0.942887047263468
Heartbleed,11,0,0.0,1.0
